lead_id,listing_id,agent_id,agent_name,agency,property_type,bedrooms,community,emirate,listing_price,lead_source,lead_status,lead_date,buyer_name
LED0025,LST0255,AGT005,Emma Clarke,Dubizzle Property,Villa,3,Emirates Hills,Dubai,6953000.0,PropertyFinder,New,2026-03-24,Buyer_0025
LED0026,LST0259,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,2,Jumeirah Village Circle,Dubai,1163000.0,Referral,Contacted,2026-05-08,Buyer_0026
LED0027,LST0299,AGT003,Fatima Hassan,Allsopp & Allsopp,Townhouse,4,Muwailih Commercial,Sharjah,3268000.0,Direct Call,New,2026-06-20,Buyer_0027
LED0028,LST0145,AGT008,Tom Reynolds,Knight Frank,Studio,0,Al Nahda,Sharjah,894000.0,Referral,Lost,2026-01-16,Buyer_0028
LED0029,LST0241,AGT001,Sarah Al Mansoori,Betterhomes,Villa,3,Al Maryah Island,Abu Dhabi,2390000.0,Direct Call,Lost,2026-06-30,Buyer_0029
LED0030,LST0056,AGT001,Sarah Al Mansoori,Betterhomes,Townhouse,0,DIFC,Dubai,2221000.0,Referral,Contacted,2026-04-26,Buyer_0030
LED0031,LST0188,AGT010,Carlos Mendez,Savills,Penthouse,5,Al Maryah Island,Abu Dhabi,9903000.0,Referral,Qualified,2026-06-21,Buyer_0031
LED0032,LST0206,AGT007,Priya Nair,Hamptons International,Penthouse,3,Al Reem Island,Abu Dhabi,9931000.0,PropertyFinder,Lost,2026-02-09,Buyer_0032
LED0033,LST0100,AGT004,Raj Patel,Driven Properties,Studio,0,Al Majaz,Sharjah,742000.0,Direct Call,Lost,2026-04-20,Buyer_0033
LED0034,LST0038,AGT001,Sarah Al Mansoori,Betterhomes,Studio,0,Dubai Marina,Dubai,1221000.0,Referral,Lost,2026-03-09,Buyer_0034
LED0035,LST0282,AGT005,Emma Clarke,Dubizzle Property,Townhouse,2,Downtown Dubai,Dubai,2605000.0,Direct Call,Lost,2026-01-09,Buyer_0035
LED0036,LST0061,AGT004,Raj Patel,Driven Properties,Villa,1,Al Maryah Island,Abu Dhabi,7364000.0,Bayut,New,2026-03-24,Buyer_0036
LED0037,LST0192,AGT002,James Mitchell,Espace Real Estate,Penthouse,5,Downtown Dubai,Dubai,5015000.0,Direct Call,Lost,2026-03-31,Buyer_0037
LED0038,LST0074,AGT005,Emma Clarke,Dubizzle Property,Townhouse,1,Al Majaz,Sharjah,2550000.0,Bayut,Lost,2026-02-22,Buyer_0038
LED0039,LST0206,AGT007,Priya Nair,Hamptons International,Penthouse,3,Al Reem Island,Abu Dhabi,9931000.0,Walk-in,New,2026-06-21,Buyer_0039
LED0040,LST0020,AGT009,Aisha Al Zaabi,CBRE,Apartment,2,Muwailih Commercial,Sharjah,1648000.0,Bayut,Qualified,2026-03-03,Buyer_0040
LED0041,LST0266,AGT005,Emma Clarke,Dubizzle Property,Apartment,1,Al Nahda,Sharjah,938000.0,Referral,Contacted,2026-01-28,Buyer_0041
LED0042,LST0264,AGT008,Tom Reynolds,Knight Frank,Penthouse,4,Al Majaz,Sharjah,3050000.0,Bayut,Qualified,2026-01-27,Buyer_0042
LED0043,LST0164,AGT008,Tom Reynolds,Knight Frank,Apartment,1,Muwailih Commercial,Sharjah,1535000.0,Bayut,Converted,2026-01-26,Buyer_0043
LED0044,LST0154,AGT003,Fatima Hassan,Allsopp & Allsopp,Penthouse,3,Muwailih Commercial,Sharjah,8117000.0,Walk-in,Qualified,2026-02-23,Buyer_0044
LED0045,LST0261,AGT009,Aisha Al Zaabi,CBRE,Penthouse,2,Yas Island,Abu Dhabi,5240000.0,Walk-in,Converted,2026-02-08,Buyer_0045
LED0046,LST0154,AGT003,Fatima Hassan,Allsopp & Allsopp,Penthouse,3,Muwailih Commercial,Sharjah,8117000.0,Referral,New,2026-03-30,Buyer_0046
LED0047,LST0170,AGT005,Emma Clarke,Dubizzle Property,Studio,0,Al Reem Island,Abu Dhabi,907000.0,PropertyFinder,Converted,2026-02-03,Buyer_0047
LED0048,LST0158,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,4,JBR,Dubai,1947000.0,PropertyFinder,Lost,2026-03-03,Buyer_0048
LED0049,LST0136,AGT008,Tom Reynolds,Knight Frank,Studio,0,Al Maryah Island,Abu Dhabi,716000.0,Walk-in,Lost,2026-05-05,Buyer_0049
LED0050,LST0027,AGT009,Aisha Al Zaabi,CBRE,Townhouse,4,Al Majaz,Sharjah,2527000.0,Walk-in,Converted,2026-05-20,Buyer_0050
LED0051,LST0269,AGT010,Carlos Mendez,Savills,Apartment,2,Khalifa City,Abu Dhabi,846000.0,Walk-in,Converted,2026-05-26,Buyer_0051
LED0052,LST0125,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,1,Muwailih Commercial,Sharjah,1713000.0,PropertyFinder,Lost,2026-01-04,Buyer_0052
LED0053,LST0057,AGT008,Tom Reynolds,Knight Frank,Villa,4,Al Nahda,Sharjah,5822000.0,Bayut,New,2026-03-12,Buyer_0053
LED0054,LST0161,AGT009,Aisha Al Zaabi,CBRE,Townhouse,3,Yas Island,Abu Dhabi,4343000.0,Referral,Contacted,2026-03-19,Buyer_0054
LED0055,LST0105,AGT007,Priya Nair,Hamptons International,Studio,0,Arabian Ranches,Dubai,928000.0,Referral,Lost,2026-01-27,Buyer_0055
LED0056,LST0242,AGT003,Fatima Hassan,Allsopp & Allsopp,Studio,0,Al Majaz,Sharjah,337000.0,PropertyFinder,Contacted,2026-02-20,Buyer_0056
LED0057,LST0107,AGT003,Fatima Hassan,Allsopp & Allsopp,Penthouse,3,Al Reem Island,Abu Dhabi,4673000.0,Walk-in,Qualified,2026-01-14,Buyer_0057
LED0058,LST0245,AGT002,James Mitchell,Espace Real Estate,Townhouse,2,Muwailih Commercial,Sharjah,1403000.0,Walk-in,Converted,2026-04-13,Buyer_0058
LED0059,LST0089,AGT007,Priya Nair,Hamptons International,Penthouse,4,Business Bay,Dubai,11988000.0,Referral,Lost,2026-04-06,Buyer_0059
LED0060,LST0280,AGT009,Aisha Al Zaabi,CBRE,Townhouse,2,Khalifa City,Abu Dhabi,3820000.0,Direct Call,Qualified,2026-01-27,Buyer_0060
LED0061,LST0248,AGT005,Emma Clarke,Dubizzle Property,Apartment,4,Meydan City,Dubai,1053000.0,Bayut,Contacted,2026-04-22,Buyer_0061
LED0062,LST0286,AGT002,James Mitchell,Espace Real Estate,Villa,1,Yas Island,Abu Dhabi,6238000.0,Direct Call,Contacted,2026-04-17,Buyer_0062
LED0063,LST0148,AGT009,Aisha Al Zaabi,CBRE,Townhouse,0,Al Majaz,Sharjah,2969000.0,Bayut,Converted,2026-04-12,Buyer_0063
LED0064,LST0246,AGT010,Carlos Mendez,Savills,Townhouse,1,Al Reem Island,Abu Dhabi,2220000.0,Direct Call,Lost,2026-04-23,Buyer_0064
LED0065,LST0148,AGT009,Aisha Al Zaabi,CBRE,Townhouse,0,Al Majaz,Sharjah,2969000.0,PropertyFinder,Lost,2026-01-10,Buyer_0065
LED0066,LST0279,AGT008,Tom Reynolds,Knight Frank,Penthouse,3,Khalifa City,Abu Dhabi,6221000.0,Referral,Converted,2026-04-05,Buyer_0066
LED0067,LST0075,AGT008,Tom Reynolds,Knight Frank,Townhouse,3,Muwailih Commercial,Sharjah,2592000.0,Direct Call,New,2026-04-20,Buyer_0067
LED0068,LST0041,AGT008,Tom Reynolds,Knight Frank,Studio,0,Khalifa City,Abu Dhabi,447000.0,Direct Call,Converted,2026-01-16,Buyer_0068
LED0069,LST0132,AGT010,Carlos Mendez,Savills,Townhouse,5,Business Bay,Dubai,3829000.0,Referral,Contacted,2026-05-12,Buyer_0069
LED0070,LST0276,AGT001,Sarah Al Mansoori,Betterhomes,Villa,1,Jumeirah Village Circle,Dubai,6849000.0,Direct Call,Lost,2026-01-05,Buyer_0070
LED0071,LST0140,AGT007,Priya Nair,Hamptons International,Studio,0,Saadiyat Island,Abu Dhabi,903000.0,Bayut,New,2026-01-26,Buyer_0071
LED0072,LST0123,AGT008,Tom Reynolds,Knight Frank,Penthouse,2,Khalifa City,Abu Dhabi,4751000.0,Bayut,New,2026-01-12,Buyer_0072
LED0073,LST0272,AGT005,Emma Clarke,Dubizzle Property,Townhouse,5,DIFC,Dubai,1136000.0,Bayut,Contacted,2026-06-19,Buyer_0073
LED0074,LST0052,AGT009,Aisha Al Zaabi,CBRE,Studio,0,Al Nahda,Sharjah,307000.0,Referral,Qualified,2026-03-04,Buyer_0074
LED0075,LST0052,AGT009,Aisha Al Zaabi,CBRE,Studio,0,Al Nahda,Sharjah,307000.0,Bayut,New,2026-02-12,Buyer_0075
LED0076,LST0081,AGT009,Aisha Al Zaabi,CBRE,Villa,3,Saadiyat Island,Abu Dhabi,2086000.0,Referral,Converted,2026-03-02,Buyer_0076
LED0077,LST0103,AGT004,Raj Patel,Driven Properties,Penthouse,0,Al Nahda,Sharjah,8625000.0,Direct Call,Qualified,2026-04-20,Buyer_0077
LED0078,LST0031,AGT004,Raj Patel,Driven Properties,Apartment,0,Downtown Dubai,Dubai,1856000.0,PropertyFinder,Lost,2026-05-04,Buyer_0078
LED0079,LST0274,AGT006,Mohammed Al Rashid,Provident Estate,Studio,0,Arabian Ranches,Dubai,1073000.0,PropertyFinder,Contacted,2026-03-18,Buyer_0079
LED0080,LST0091,AGT010,Carlos Mendez,Savills,Studio,0,Al Maryah Island,Abu Dhabi,1153000.0,PropertyFinder,Converted,2026-02-26,Buyer_0080
LED0081,LST0096,AGT006,Mohammed Al Rashid,Provident Estate,Penthouse,2,Saadiyat Island,Abu Dhabi,10232000.0,Direct Call,New,2026-06-30,Buyer_0081
LED0082,LST0153,AGT001,Sarah Al Mansoori,Betterhomes,Townhouse,2,Al Maryah Island,Abu Dhabi,3563000.0,Walk-in,Lost,2026-06-05,Buyer_0082
LED0083,LST0172,AGT010,Carlos Mendez,Savills,Penthouse,2,Business Bay,Dubai,8461000.0,Direct Call,Converted,2026-01-19,Buyer_0083
LED0084,LST0279,AGT008,Tom Reynolds,Knight Frank,Penthouse,3,Khalifa City,Abu Dhabi,6221000.0,Walk-in,Converted,2026-05-29,Buyer_0084
LED0085,LST0259,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,2,Jumeirah Village Circle,Dubai,1163000.0,Referral,Qualified,2026-05-14,Buyer_0085
LED0086,LST0058,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,4,Downtown Dubai,Dubai,535000.0,Direct Call,Contacted,2026-03-07,Buyer_0086
LED0087,LST0132,AGT010,Carlos Mendez,Savills,Townhouse,5,Business Bay,Dubai,3829000.0,Bayut,New,2026-04-07,Buyer_0087
LED0088,LST0152,AGT002,James Mitchell,Espace Real Estate,Villa,2,Muwailih Commercial,Sharjah,6204000.0,Walk-in,Contacted,2026-05-19,Buyer_0088
LED0089,LST0208,AGT002,James Mitchell,Espace Real Estate,Apartment,3,Downtown Dubai,Dubai,627000.0,Referral,Lost,2026-04-10,Buyer_0089
LED0090,LST0045,AGT007,Priya Nair,Hamptons International,Villa,0,Al Majaz,Sharjah,7167000.0,Referral,New,2026-05-16,Buyer_0090
LED0091,LST0072,AGT007,Priya Nair,Hamptons International,Townhouse,5,Khalifa City,Abu Dhabi,2091000.0,Referral,Qualified,2026-04-30,Buyer_0091
LED0092,LST0004,AGT004,Raj Patel,Driven Properties,Penthouse,3,Emirates Hills,Dubai,8598000.0,Direct Call,Converted,2026-05-03,Buyer_0092
LED0093,LST0229,AGT006,Mohammed Al Rashid,Provident Estate,Penthouse,0,Meydan City,Dubai,7149000.0,Direct Call,Qualified,2026-04-16,Buyer_0093
LED0094,LST0299,AGT003,Fatima Hassan,Allsopp & Allsopp,Townhouse,4,Muwailih Commercial,Sharjah,3268000.0,Walk-in,New,2026-04-27,Buyer_0094
LED0095,LST0185,AGT002,James Mitchell,Espace Real Estate,Villa,5,Al Maryah Island,Abu Dhabi,6496000.0,Bayut,New,2026-01-13,Buyer_0095
LED0096,LST0061,AGT004,Raj Patel,Driven Properties,Villa,1,Al Maryah Island,Abu Dhabi,7364000.0,Referral,Qualified,2026-05-23,Buyer_0096
LED0097,LST0208,AGT002,James Mitchell,Espace Real Estate,Apartment,3,Downtown Dubai,Dubai,627000.0,Walk-in,Qualified,2026-01-07,Buyer_0097
LED0098,LST0061,AGT004,Raj Patel,Driven Properties,Villa,1,Al Maryah Island,Abu Dhabi,7364000.0,Direct Call,Qualified,2026-01-26,Buyer_0098
LED0099,LST0114,AGT008,Tom Reynolds,Knight Frank,Penthouse,3,Al Majaz,Sharjah,10533000.0,Bayut,Contacted,2026-03-02,Buyer_0099
LED0100,LST0079,AGT004,Raj Patel,Driven Properties,Studio,0,Khalifa City,Abu Dhabi,982000.0,Referral,Lost,2026-03-29,Buyer_0100
LED0101,LST0213,AGT004,Raj Patel,Driven Properties,Studio,0,Jumeirah Village Circle,Dubai,1067000.0,Walk-in,Converted,2026-02-15,Buyer_0101
LED0102,LST0112,AGT010,Carlos Mendez,Savills,Townhouse,5,Al Reem Island,Abu Dhabi,4090000.0,Bayut,Lost,2026-06-12,Buyer_0102
LED0103,LST0270,AGT006,Mohammed Al Rashid,Provident Estate,Studio,0,Downtown Dubai,Dubai,364000.0,Referral,Lost,2026-01-03,Buyer_0103
LED0104,LST0186,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,0,Khalifa City,Abu Dhabi,1918000.0,PropertyFinder,Lost,2026-06-04,Buyer_0104
LED0105,LST0032,AGT005,Emma Clarke,Dubizzle Property,Villa,5,Emirates Hills,Dubai,4567000.0,Walk-in,Lost,2026-05-12,Buyer_0105
LED0106,LST0294,AGT003,Fatima Hassan,Allsopp & Allsopp,Villa,2,Al Reem Island,Abu Dhabi,4700000.0,Walk-in,Contacted,2026-05-21,Buyer_0106
LED0107,LST0168,AGT004,Raj Patel,Driven Properties,Villa,3,Al Maryah Island,Abu Dhabi,5436000.0,Walk-in,Converted,2026-06-03,Buyer_0107
LED0108,LST0106,AGT001,Sarah Al Mansoori,Betterhomes,Townhouse,3,Muwailih Commercial,Sharjah,3892000.0,Walk-in,Converted,2026-06-09,Buyer_0108
LED0109,LST0262,AGT006,Mohammed Al Rashid,Provident Estate,Apartment,0,Saadiyat Island,Abu Dhabi,1756000.0,Referral,New,2026-03-08,Buyer_0109
LED0110,LST0068,AGT007,Priya Nair,Hamptons International,Townhouse,4,Al Reem Island,Abu Dhabi,4446000.0,Walk-in,Converted,2026-03-08,Buyer_0110
LED0111,LST0289,AGT005,Emma Clarke,Dubizzle Property,Townhouse,1,Khalifa City,Abu Dhabi,4365000.0,PropertyFinder,Lost,2026-03-06,Buyer_0111
LED0112,LST0158,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,4,JBR,Dubai,1947000.0,PropertyFinder,Converted,2026-04-28,Buyer_0112
LED0113,LST0002,AGT002,James Mitchell,Espace Real Estate,Studio,0,Muwailih Commercial,Sharjah,861000.0,Bayut,Lost,2026-06-14,Buyer_0113
LED0114,LST0024,AGT010,Carlos Mendez,Savills,Apartment,2,Muwailih Commercial,Sharjah,1223000.0,Referral,Qualified,2026-01-04,Buyer_0114
LED0115,LST0033,AGT008,Tom Reynolds,Knight Frank,Studio,0,Meydan City,Dubai,531000.0,Walk-in,New,2026-06-15,Buyer_0115
LED0116,LST0242,AGT003,Fatima Hassan,Allsopp & Allsopp,Studio,0,Al Majaz,Sharjah,337000.0,PropertyFinder,Qualified,2026-03-20,Buyer_0116
LED0117,LST0093,AGT008,Tom Reynolds,Knight Frank,Villa,1,Al Nahda,Sharjah,7390000.0,Bayut,Converted,2026-03-29,Buyer_0117
LED0118,LST0196,AGT003,Fatima Hassan,Allsopp & Allsopp,Townhouse,0,Emirates Hills,Dubai,3341000.0,Referral,Converted,2026-03-28,Buyer_0118
LED0119,LST0042,AGT009,Aisha Al Zaabi,CBRE,Studio,0,Dubai Marina,Dubai,358000.0,Walk-in,Contacted,2026-01-16,Buyer_0119
LED0120,LST0179,AGT005,Emma Clarke,Dubizzle Property,Studio,0,Al Maryah Island,Abu Dhabi,1089000.0,PropertyFinder,Contacted,2026-02-15,Buyer_0120
LED0121,LST0202,AGT006,Mohammed Al Rashid,Provident Estate,Apartment,4,Yas Island,Abu Dhabi,705000.0,Walk-in,Contacted,2026-05-06,Buyer_0121
LED0122,LST0002,AGT002,James Mitchell,Espace Real Estate,Studio,0,Muwailih Commercial,Sharjah,861000.0,PropertyFinder,Qualified,2026-03-06,Buyer_0122
LED0123,LST0279,AGT008,Tom Reynolds,Knight Frank,Penthouse,3,Khalifa City,Abu Dhabi,6221000.0,Referral,Lost,2026-03-27,Buyer_0123
LED0124,LST0118,AGT002,James Mitchell,Espace Real Estate,Townhouse,5,Al Majaz,Sharjah,2913000.0,Bayut,Converted,2026-04-05,Buyer_0124
LED0125,LST0080,AGT003,Fatima Hassan,Allsopp & Allsopp,Villa,5,Khalifa City,Abu Dhabi,5719000.0,Direct Call,Contacted,2026-06-04,Buyer_0125
LED0126,LST0017,AGT009,Aisha Al Zaabi,CBRE,Villa,3,Saadiyat Island,Abu Dhabi,2318000.0,Referral,Lost,2026-06-28,Buyer_0126
LED0127,LST0124,AGT002,James Mitchell,Espace Real Estate,Apartment,3,Khalifa City,Abu Dhabi,1227000.0,Bayut,New,2026-06-07,Buyer_0127
LED0128,LST0018,AGT007,Priya Nair,Hamptons International,Villa,4,Palm Jumeirah,Dubai,2162000.0,Referral,Lost,2026-01-11,Buyer_0128
LED0129,LST0025,AGT001,Sarah Al Mansoori,Betterhomes,Villa,1,Al Reem Island,Abu Dhabi,6805000.0,Bayut,New,2026-03-22,Buyer_0129
LED0130,LST0225,AGT003,Fatima Hassan,Allsopp & Allsopp,Villa,3,Al Nahda,Sharjah,4836000.0,Bayut,Lost,2026-05-08,Buyer_0130
LED0131,LST0029,AGT008,Tom Reynolds,Knight Frank,Studio,0,Khalifa City,Abu Dhabi,415000.0,Bayut,Lost,2026-04-19,Buyer_0131
LED0132,LST0120,AGT004,Raj Patel,Driven Properties,Apartment,2,Al Nahda,Sharjah,826000.0,Walk-in,Qualified,2026-02-05,Buyer_0132
LED0133,LST0165,AGT005,Emma Clarke,Dubizzle Property,Apartment,2,Arabian Ranches,Dubai,1050000.0,Bayut,Qualified,2026-05-27,Buyer_0133
LED0134,LST0267,AGT008,Tom Reynolds,Knight Frank,Studio,0,DIFC,Dubai,360000.0,Bayut,Converted,2026-04-17,Buyer_0134
LED0135,LST0141,AGT007,Priya Nair,Hamptons International,Townhouse,2,JBR,Dubai,2178000.0,PropertyFinder,Lost,2026-02-01,Buyer_0135
LED0136,LST0090,AGT001,Sarah Al Mansoori,Betterhomes,Penthouse,2,Al Nahda,Sharjah,5837000.0,Referral,Lost,2026-02-26,Buyer_0136
LED0137,LST0025,AGT001,Sarah Al Mansoori,Betterhomes,Villa,1,Al Reem Island,Abu Dhabi,6805000.0,Direct Call,Converted,2026-02-18,Buyer_0137
LED0138,LST0164,AGT008,Tom Reynolds,Knight Frank,Apartment,1,Muwailih Commercial,Sharjah,1535000.0,Referral,Converted,2026-05-25,Buyer_0138
LED0139,LST0154,AGT003,Fatima Hassan,Allsopp & Allsopp,Penthouse,3,Muwailih Commercial,Sharjah,8117000.0,Referral,Contacted,2026-02-15,Buyer_0139
LED0140,LST0243,AGT009,Aisha Al Zaabi,CBRE,Studio,0,Khalifa City,Abu Dhabi,879000.0,Bayut,Contacted,2026-04-17,Buyer_0140
LED0141,LST0074,AGT005,Emma Clarke,Dubizzle Property,Townhouse,1,Al Majaz,Sharjah,2550000.0,Referral,New,2026-02-09,Buyer_0141
LED0142,LST0212,AGT002,James Mitchell,Espace Real Estate,Villa,2,Al Nahda,Sharjah,6619000.0,Referral,Lost,2026-02-17,Buyer_0142
LED0143,LST0069,AGT005,Emma Clarke,Dubizzle Property,Villa,0,Al Maryah Island,Abu Dhabi,5840000.0,Referral,Contacted,2026-04-28,Buyer_0143
LED0144,LST0105,AGT007,Priya Nair,Hamptons International,Studio,0,Arabian Ranches,Dubai,928000.0,Direct Call,New,2026-03-09,Buyer_0144
LED0145,LST0190,AGT008,Tom Reynolds,Knight Frank,Villa,3,Arabian Ranches,Dubai,7218000.0,PropertyFinder,Lost,2026-05-15,Buyer_0145
LED0146,LST0027,AGT009,Aisha Al Zaabi,CBRE,Townhouse,4,Al Majaz,Sharjah,2527000.0,Direct Call,Converted,2026-01-11,Buyer_0146
LED0147,LST0021,AGT003,Fatima Hassan,Allsopp & Allsopp,Penthouse,3,Jumeirah Village Circle,Dubai,3031000.0,PropertyFinder,Contacted,2026-02-02,Buyer_0147
LED0148,LST0287,AGT001,Sarah Al Mansoori,Betterhomes,Studio,0,Khalifa City,Abu Dhabi,875000.0,Bayut,Converted,2026-05-10,Buyer_0148
LED0149,LST0171,AGT005,Emma Clarke,Dubizzle Property,Penthouse,1,Al Nahda,Sharjah,12494000.0,Direct Call,New,2026-05-09,Buyer_0149
LED0150,LST0098,AGT002,James Mitchell,Espace Real Estate,Villa,5,Arabian Ranches,Dubai,2029000.0,PropertyFinder,Converted,2026-05-01,Buyer_0150
LED0151,LST0105,AGT007,Priya Nair,Hamptons International,Studio,0,Arabian Ranches,Dubai,928000.0,Referral,Contacted,2026-02-11,Buyer_0151
LED0152,LST0165,AGT005,Emma Clarke,Dubizzle Property,Apartment,2,Arabian Ranches,Dubai,1050000.0,Direct Call,Converted,2026-03-05,Buyer_0152
LED0153,LST0274,AGT006,Mohammed Al Rashid,Provident Estate,Studio,0,Arabian Ranches,Dubai,1073000.0,Direct Call,Qualified,2026-04-27,Buyer_0153
LED0154,LST0185,AGT002,James Mitchell,Espace Real Estate,Villa,5,Al Maryah Island,Abu Dhabi,6496000.0,Walk-in,Converted,2026-03-05,Buyer_0154
LED0155,LST0051,AGT006,Mohammed Al Rashid,Provident Estate,Villa,2,Yas Island,Abu Dhabi,2699000.0,Referral,Qualified,2026-05-11,Buyer_0155
LED0156,LST0190,AGT008,Tom Reynolds,Knight Frank,Villa,3,Arabian Ranches,Dubai,7218000.0,Direct Call,Converted,2026-06-21,Buyer_0156
LED0157,LST0289,AGT005,Emma Clarke,Dubizzle Property,Townhouse,1,Khalifa City,Abu Dhabi,4365000.0,Bayut,Contacted,2026-06-28,Buyer_0157
LED0158,LST0134,AGT003,Fatima Hassan,Allsopp & Allsopp,Apartment,2,Downtown Dubai,Dubai,1384000.0,Walk-in,Lost,2026-02-04,Buyer_0158
LED0159,LST0214,AGT001,Sarah Al Mansoori,Betterhomes,Studio,0,Muwailih Commercial,Sharjah,879000.0,Direct Call,Contacted,2026-05-13,Buyer_0159
LED0160,LST0169,AGT005,Emma Clarke,Dubizzle Property,Penthouse,5,Yas Island,Abu Dhabi,8193000.0,Bayut,Converted,2026-02-07,Buyer_0160
LED0161,LST0126,AGT009,Aisha Al Zaabi,CBRE,Apartment,3,Business Bay,Dubai,1402000.0,Referral,Lost,2026-01-16,Buyer_0161
LED0162,LST0173,AGT005,Emma Clarke,Dubizzle Property,Penthouse,0,Yas Island,Abu Dhabi,8376000.0,Direct Call,Converted,2026-01-19,Buyer_0162
LED0163,LST0252,AGT003,Fatima Hassan,Allsopp & Allsopp,Studio,0,Arabian Ranches,Dubai,867000.0,Referral,Contacted,2026-04-03,Buyer_0163
LED0164,LST0087,AGT004,Raj Patel,Driven Properties,Villa,3,Palm Jumeirah,Dubai,5756000.0,Bayut,Lost,2026-02-27,Buyer_0164
LED0165,LST0095,AGT008,Tom Reynolds,Knight Frank,Villa,1,Al Nahda,Sharjah,2087000.0,Walk-in,New,2026-02-18,Buyer_0165
